City, Country, Latitude, Longitude,concert duration
New York City, USA,40.7128,-74.006,57
Tokyo, Japan,35.6895,139.6917,64
London, UK,51.5074,-0.1278,57
Paris, France,48.8566,2.3522,61
Beijing, China,39.9042,116.4074,74
Moscow, Russia,55.7558,37.6176,57
Sao Paulo, Brazil,-23.5505,-46.6333,67
Delhi, India,28.7041,77.1025,56
Istanbul, Turkey,41.0082,28.9784,65
Cairo, Egypt,30.033,31.2336,60
Los Angeles, USA,34.0522,-118.2437,73
Buenos Aires, Argentina,-34.6037,-58.3816,63
Jakarta, Indonesia,-6.2088,106.8456,65
Mexico City, Mexico,19.4326,-99.1332,73
Seoul, South Korea,37.5665,126.978,67
Lagos, Nigeria,6.5244,3.3792,70
Mumbai, India,19.076,72.8777,57
Osaka, Japan,34.6937,135.5023,64
Karachi, Pakistan,24.8607,67.0011,71
Manila, Philippines,14.5995,120.9842,72
Canberra, Australia,-35.282,149.1286,63
Washington D.C., USA,38.9072,-77.0369,75
Rome, Italy,41.9028,12.4964,64
Berlin, Germany,52.52,13.405,75
Ottawa, Canada,45.4215,-75.691,70
Brasilia, Brazil,-15.8267,-47.9218,61
Madrid, Spain,40.4168,-3.7038,56
Abu Dhabi, UAE,24.4539,54.3773,68
Pretoria, South Africa,-25.7463,28.1876,57
Wellington, New Zealand,-41.2865,174.7762,55
Paris, France,48.8566,2.3522,57
Beijing, China,39.9042,116.4074,72
Moscow, Russia,55.7558,37.6176,58
Tehran, Iran,35.6892,51.389,55
Nairobi, Kenya,-1.2921,36.8219,60
Athens, Greece,37.9838,23.7275,70
Stockholm, Sweden,59.3293,18.0686,74
Lisbon, Portugal,38.7223,-9.1393,66
Dublin, Ireland,53.3498,-6.2603,60
Hanoi, Vietnam,21.0278,105.8342,61
Bangkok, Thailand,13.7563,100.5018,74
Oslo, Norway,59.9139,10.7522,57
Cairo, Egypt,30.033,31.2336,66
Buenos Aires, Argentina,-34.6037,-58.3816,61
Addis Ababa, Ethiopia,9.0084,38.7575,69
Islamabad, Pakistan,33.6844,73.0479,58
Seoul, South Korea,37.5665,126.978,57
Riyadh, Saudi Arabia,24.7136,46.6753,61
Helsinki, Finland,60.1695,24.9354,66
